Params.,Acacia,Apple,Willow,Maple,Birch,Oak,Pine
G_NLB,2,2,2,2,2,3,3
G_AAV,2,20,12,2,5,20,0
G_BAM,20,45,43,30,30,29.52,80
G_BAV,5,2,3,5,5,2,4
G_RAM,113.110001,91,80,130,130,91,10
G_RAV,13.09,1,4,30,30,1,30
F_AKP,0.9,0,0,0,0,0,0
F_LKP,0.006269,0.21,0.21,0.01,0.01,0.21,0.015
F_ALF,1,0.39,0.54,0.85,0.85,0.39,0.04
F_LLF,1.001,1.13,0.94,0.2,0.2,1,0.1
F_ADB,3.5,3.13,0.38,4.87,4.87,3.13,0.01
F_ADF,0.9,0.13,0.9,0.979,0.979,0.13,0.9
F_AAF,0.9,0.82,0.31,0.42,0.42,0.82,0.87
F_GR,1.5,2.98,2.3,4.25,4.25,3,3.26
F_ILB,0.923827,0.55,0.8,0.93,0.93,1,0.4
F_IAF,0.9559,0.97,0.98,0.95,0.93,0.93,0.96
F_ACB,0.93576,2.2,3.25,3.64,3.64,2.2,6.2
F_AAF,0.918157,0.5,0.7,0.87,0.89,0.5,0.9
F_ALF,1,1,1,0.92,0.93,1,1
F_MBA,10,20,8,8,8,20,10
E_LBF,0.5,0.37,0.4,0.6,0.6,0.5,0.3
E_PHO,0.424451,0.5,0.15,0.45,0.45,0.32,0.4
E_GGB,0.6,-0.54,-0.16,0.2,-0.33,0.08,0.05
E_GLF,-0.2,0.17,-0.09,0,0.35,-0.03,0.01
E_PPF,0.05,0.7,0.8,0.1,0.1,0.7,0.12
E_LPF,0.639226,1.3,2.9,4.5,6,1.3,1
E_GBS,0.2,0.68,0.14,0.13,0.85,0.72,0.94
E_GAF,0.85,0.8,0.85,0.93,0.91,0.83,0.85
t,15,11,14,10,11,10,15
